piam_variable;Variable;factor;weight;spatial
Demand|Bioenergy|++|Traditional Burning (EJ/yr);Primary Energy|Biomass|Fuelwood (EJ/yr);1;NULL;reg+glo
ZERO (NA);Primary Energy|Biomass|Other (EJ/yr);1;NULL;reg+glo
Demand|Bioenergy|2nd generation|++|Crop residues (EJ/yr);Primary Energy|Biomass|Residues (EJ/yr);1;NULL;reg+glo
ZERO (NA);Primary Energy|Biomass|Residues|Forest industry (EJ/yr);1;NULL;reg+glo
ZERO (NA);Primary Energy|Biomass|Residues|Logging (EJ/yr);1;NULL;reg+glo
Demand|Bioenergy|2nd generation|++|Forest products (EJ/yr);Primary Energy|Biomass|Roundwood harvest (EJ/yr);1;NULL;reg+glo
Resources|Water|Withdrawal|Agriculture|Crops|+|Crops (km3/yr);Water|Withdrawal|Irrigation (million m3/yr);1000;NULL;reg+glo
Resources|Water|Withdrawal|Agriculture|Crops|+|Bioenergy crops (km3/yr);Water|Withdrawal|Irrigation (million m3/yr);1000;NULL;reg+glo
Resources|Water|Withdrawal|Agriculture|Crops|Crops|+|Cereals (km3/yr);Water|Withdrawal|Irrigation|Cereals (million m3/yr);1000;NULL;reg+glo
Resources|Water|Withdrawal|Agriculture|Crops|Crops|+|Oil crops (km3/yr);Water|Withdrawal|Irrigation|Oilcrops (million m3/yr);1000;NULL;reg+glo
Resources|Water|Withdrawal|Agriculture|Crops|Crops|+|Sugar crops (km3/yr);Water|Withdrawal|Irrigation|Sugarcrops (million m3/yr);1000;NULL;reg+glo
Productivity|Yield|Crops|Cereals (t DM/ha);Yield|Cereals (t DM/ha/yr);1;NULL;reg+glo
Productivity|Yield|Bioenergy crops (t DM/ha);Yield|Energy Crops (t DM/ha/yr);1;NULL;reg+glo
Productivity|Yield|Crops (t DM/ha);Yield|Non-Energy Crops (t DM/ha/yr);1;NULL;reg+glo
Productivity|Yield|Crops|Oil crops (t DM/ha);Yield|Oilcrops (t DM/ha/yr);1;NULL;reg+glo
Productivity|Yield|Crops|Sugar crops (t DM/ha);Yield|Sugarcrops (t DM/ha/yr);1;NULL;reg+glo
Productivity|Landuse Intensity Indicator Tau (Index);Landuse intensity indicator Tau (Index);1;NULL;reg+glo
Costs|+|TC (million US$2017/yr);Costs|TC (million US$2005);1;NULL;reg+glo
SDG|SDG15|Terrestrial biodiversity (index);Biodiversity|BII (unitless);1;NULL;reg+glo
Biodiversity|Biodiversity Hotspot BII (unitless);Biodiversity|BII|Biodiversity hotspots (unitless);1;NULL;reg+glo
Demand|Food|Secondary products|+|Microbial protein (Mt DM/yr);Food Demand|Microbial protein (million t DM/yr);1;NULL;reg+glo
ZERO (NA);Food Demand|Microbial protein|Dairy (million t DM/yr);1;NULL;reg+glo
ZERO (NA);Food Demand|Microbial protein|Ruminant meat (million t DM/yr);1;NULL;reg+glo
Demand|Food|Livestock products|+|Ruminant meat (Mt DM/yr);Food Demand|Ruminant meat (million t DM/yr);1;NULL;reg+glo
ZERO (NA);Food Demand|Ruminant meat|Replaced by microbial protein (million t DM/yr);1;NULL;reg+glo
Demand|Food|Livestock products|+|Dairy (Mt DM/yr);Food Demand|Dairy (million t DM/yr);1;NULL;reg+glo
;Food Demand|Dairy|Replaced by microbial protein (million t DM/yr);1;NULL;reg+glo
Costs (million US$2017/yr);Cost|Total (million US$05/yr);1;NULL;glo
Costs|+|Reward for Afforestation (million US$2017/yr);Cost|Reward CDR Afforestation (million US$05/yr);1;NULL;glo
Costs|+|GHG Emissions (million US$2017/yr);Cost|GHG Emissions (million US$05/yr);1;NULL;glo
Costs|+|Reward for producing bioenergy (million US$2017/yr);Cost|Utility Biomass (million US$05/yr);1;NULL;glo
Costs|MainSolve w/o GHG Emissions (million US$2017/yr);Cost|Total without GHG Emissions (million US$05/yr);1;NULL;glo
